color,currency,image,inStock,name,os,page_num,price,processor,ram,rom,screenSize,url,wasPrice
navy,AED,https://cdn.media.amplience.net/i/emax/100000363802_1,1,Samsung Galaxy Z Fold6 12GB 512GB Navy 5G,,2,7099.0,,12gb,512gb,,uae.emaxme.com/buy-samsung-galaxy-z-fold6-12gb-512gb-navy-5g-p-01J2EBDZ1ES65T1N7E6YWW0DT6-Navy-12GB 512GB.html,7699.0
navy,AED,https://cdn.media.amplience.net/i/emax/100000363802_1,1,Samsung Galaxy Z Fold6 12GB 256GB Navy 5G,Android,2,6599.0,Octa-Core,12gb,256gb,7.6 Inch,uae.emaxme.com/buy-samsung-galaxy-z-fold6-12gb-256gb-navy-5g-p-01J2EBDZ1ES65T1N7E6YWW0DT6-Navy-12GB 256GB.html,7199.0
yellow,AED,https://cdn.media.amplience.net/i/emax/100000363800_1,1,Samsung Galaxy Z Flip6 12GB 256GB Yellow 5G,,2,3899.0,,12gb,256gb,6.7 Inch,uae.emaxme.com/buy-samsung-galaxy-z-flip6-12gb-256gb-yellow-5g-p-01J2EBDZ16YGAZ1EDEPTYR0JF3-Yellow-12GB 256GB.html,4299.0
mint,AED,https://cdn.media.amplience.net/i/emax/100000363795_1,1,Samsung Galaxy Z Flip6 12GB 512GB Mint 5G,,2,4399.0,,12gb,512gb,6.7 Inch,uae.emaxme.com/buy-samsung-galaxy-z-flip6-12gb-512gb-mint-5g-p-01J2EBDZ16YGAZ1EDEPTYR0JF3-Mint-12GB 512GB.html,4799.0
mint,AED,https://cdn.media.amplience.net/i/emax/100000363795_1,1,Samsung Galaxy Z Flip6 12GB 256GB Mint 5G,,2,3899.0,,12gb,256gb,6.7 Inch,uae.emaxme.com/buy-samsung-galaxy-z-flip6-12gb-256gb-mint-5g-p-01J2EBDZ16YGAZ1EDEPTYR0JF3-Mint-12GB 256GB.html,4299.0
blue,AED,https://cdn.media.amplience.net/i/emax/100000363794_1,1,Samsung Galaxy Z Flip6 12GB 512GB Blue 5G,,2,4399.0,,12gb,512gb,6.7 Inch,uae.emaxme.com/buy-samsung-galaxy-z-flip6-12gb-512gb-blue-5g-p-01J2EBDZ16YGAZ1EDEPTYR0JF3-Blue-12GB 512GB.html,4799.0
blue,AED,https://cdn.media.amplience.net/i/emax/100000363794_1,1,Samsung Galaxy Z Flip6 12GB 256GB Blue 5G,,2,3899.0,,12gb,256gb,6.7 Inch,uae.emaxme.com/buy-samsung-galaxy-z-flip6-12gb-256gb-blue-5g-p-01J2EBDZ16YGAZ1EDEPTYR0JF3-Blue-12GB 256GB.html,4299.0
sunset gold,AED,https://cdn.media.amplience.net/i/emax/100000363498_1,1,OPPO Reno12 Pro 12GB 512GB Sunset Gold 5G Smart Phone,Android 14,2,2099.0,MT6878 Processor,12gb,512gb,6.7 Inch,uae.emaxme.com/buy-oppo-reno12-pro-12gb-512gb-sunset-gold-5g-smart-phone-p-01J1AATR0Q7YWJ096N80ND18Q4-Sunset Gold-12GB 512GB.html,2099.0
space brown,AED,https://cdn.media.amplience.net/i/emax/100000363497_1,1,OPPO Reno12 Pro 12GB 512GB Space Brown 5G Smart Phone,Android 14,2,2099.0,MT6878 Processor,12gb,512gb,6.7 Inch,uae.emaxme.com/buy-oppo-reno12-pro-12gb-512gb-space-brown-5g-smart-phone-p-01J1AATR0Q7YWJ096N80ND18Q4-Space Brown-12GB 512GB.html,2099.0
matte brown,AED,https://cdn.media.amplience.net/i/emax/100000363496_1,1,OPPO Reno12 12GB 512GB  Matte Brown 5G Smartphone,Android 14,2,1599.0,MT6878 Processor,12gb,512gb,6.7 Inch,uae.emaxme.com/buy-oppo-reno12-12gb-512gb--matte-brown-5g-smartphone-p-01J1AATR0F6QZN1YT87N3K1YXN-Matte Brown-12GB 512GB.html,1599.0
