colour,currency,image,name,offer_price,os_version,page_number,processor,ram,regular_price,rom,url
Black,AED,https://f.nooncdn.com/p/pnsku/N70027738V/45/_/1701414077/031e5b13-9df6-4b3f-bce0-59619dc01c22.jpg?format=jpg&width=240,Galaxy A05 Dual SIM Black 4GB RAM 64GB 4G LTE - Middle East Version,287.0,,1,,4 GB,389.0,64 GB,https://www.noon.com/uae-en/galaxy-a05-dual-sim-black-4gb-ram-64gb-4g-lte-middle-east-version/N70027738V/p/?o=a7fcbf8aab10cade
Black,AED,https://f.nooncdn.com/p/pnsku/N70065615V/45/_/1715261266/53213afb-6da6-42b5-b750-43ee68cb7d95.jpg?format=jpg&width=240,Pura 70 Dual SIM Black 12GB RAM 256GB - Middle East Version,1829.0,,1,,12 GB,2999.0,256 GB,https://www.noon.com/uae-en/pura-70-dual-sim-black-12gb-ram-256gb-middle-east-version/N70065615V/p/?o=badff24160db955b
Awesome Lilac,AED,https://f.nooncdn.com/p/pnsku/N70049910V/45/_/1715177755/49898279-41ca-4db4-a4b3-17cce2afbd85.jpg?format=jpg&width=240,Galaxy A55 Dual SIM Awesome Lilac 8GB RAM 256GB 5G - Middle East Version,1349.0,,1,,8 GB,1549.0,256 GB,https://www.noon.com/uae-en/galaxy-a55-dual-sim-awesome-lilac-8gb-ram-256gb-5g-middle-east-version/N70049902V/p/?o=edebc25ac3e6021e
Mystic White,AED,https://f.nooncdn.com/p/v1669218456/N39593472A_1.jpg?format=jpg&width=240,Galaxy Note20 Ultra Dual SIM Mystic White 12GB RAM 256GB 5G - UAE Version,1390.0,Android 10(Q),1,Samsung Exynos,12 GB,4899.0,256 GB,https://www.noon.com/uae-en/galaxy-note20-ultra-dual-sim-mystic-white-12gb-ram-256gb-5g-uae-version/N39593482A/p/?o=d32505fc7c6b022c
Awesome Lilac,AED,https://f.nooncdn.com/p/pnsku/N70049910V/45/_/1715177755/49898279-41ca-4db4-a4b3-17cce2afbd85.jpg?format=jpg&width=240,Galaxy A55 Dual SIM Awesome Lilac 8GB RAM 256GB 5G - Middle East Version,1115.0,,1,,8 GB,1549.0,256 GB,https://www.noon.com/uae-en/galaxy-a55-dual-sim-awesome-lilac-8gb-ram-256gb-5g-middle-east-version/N70049902V/p/?o=dd0e20112572456c
Forest Grey,AED,https://f.nooncdn.com/p/pnsku/N70082996V/45/_/1717589314/6380b3b0-3c54-46d4-a2d9-6b1c65e76699.jpg?format=jpg&width=240,Edge 50 Ultra 5G Dual SIM  Forest Grey 16GB+16GB RAM 1TB With Moto Buds+ 6 Month Screen Protection - Middle East Version,2532.0,Android 14,1,,16 GB,2999.0,1000 GB,https://www.noon.com/uae-en/edge-50-ultra-5g-dual-sim-forest-grey-16gb-16gb-ram-1tb-with-moto-buds-6-month-screen-protection-middle-east-version/N70082996V/p/?o=bb51e14042f1a73d
Sunny Oasis,AED,https://f.nooncdn.com/p/pnsku/N70034345V/45/_/1703921464/2614d6f4-be1b-4e84-886d-e45f8b78d55c.jpg?format=jpg&width=240,C67 Dual SIM Sunny Oasis 8GB RAM 256GB 4G - UAE Version,539.0,Android 14,1,Qualcomm Snapdragon,8 GB,699.0,256 GB,https://www.noon.com/uae-en/c67-dual-sim-sunny-oasis-8gb-ram-256gb-4g-uae-version/N70034344V/p/?o=a80f4ec6b6a06f9e
Titanium Violet,AED,https://f.nooncdn.com/p/pnsku/N70036947V/45/_/1705580048/ecdd88b8-8e28-4758-9a1e-deb3e6507f0e.jpg?format=jpg&width=240,Galaxy S24 Ultra Dual SIM Titanium Violet 12GB RAM 256GB 5G - International Version,3244.7,,1,,12 GB,5399.0,256 GB,https://www.noon.com/uae-en/galaxy-s24-ultra-dual-sim-titanium-violet-12gb-ram-256gb-5g-international-version/N70036949V/p/?o=c41c92b955e96d7b
Cream,AED,https://f.nooncdn.com/p/v1687430494/N53383608A_1.jpg?format=jpg&width=240,Galaxy S23 Ultra 5G Dual SIM Cream 8GB RAM 256GB - International Version,2445.0,,1,,8 GB,4599.0,256 GB,https://www.noon.com/uae-en/galaxy-s23-ultra-5g-dual-sim-cream-8gb-ram-256gb-international-version/N53383608A/p/?o=ae4dc52fe0ac3fae
Light Green,AED,https://f.nooncdn.com/p/pnsku/N70087078V/45/_/1721051939/2a13d4ea-f925-4175-a0ca-5e3501eab93f.jpg?format=jpg&width=240,Phone 1 Dual Sim Light Green 8GB RAM 128GB 5G - Middle East Version,,,1,MediaTek Dimensity,8 GB,749.0,128 GB,https://www.noon.com/uae-en/phone-1-dual-sim-light-green-8gb-ram-128gb-5g-middle-east-version/N70087079V/p/?o=c48bfcb21ea30b2b
Urban Grey,AED,https://f.nooncdn.com/p/pnsku/N70092656V/45/_/1721652797/85fa9777-dd8a-4a5f-ab68-85393700618f.jpg?format=jpg&width=240,G85 Dual SIM  Urban Grey 12GB RAM 256GB 5G - Middle East Version,,Android 14,1,,12 GB,898.95,256 GB,https://www.noon.com/uae-en/g85-dual-sim-urban-grey-12gb-ram-256gb-5g-middle-east-version/N70092658V/p/?o=dafdac746bd2e33b
Leather Orange,AED,https://f.nooncdn.com/p/pnsku/N70045652V/45/_/1707982981/5e88fdb4-c535-4610-9e17-6b40de340c6f.jpg?format=jpg&width=240,"V30 Lite 5G Dual Sim Leather Orange 12Gb+12Gb Ram 256Gb With Exclusive Gifts Earbuds, Smart Fitness Band, 80W Charger And 24 Months Warranty + 1 Year Screen Replacement - Middle East Version",929.0,,1,,12 GB,1099.0,256 GB,https://www.noon.com/uae-en/v30-lite-5g-dual-sim-leather-orange-12gb-12gb-ram-256gb-with-exclusive-gifts-earbuds-smart-fitness-band-80w-charger-and-24-months-warranty-1-year-screen-replacement-middle-east-version/N70051972V/p/?o=d7e33b572331455d
Lavender,AED,https://f.nooncdn.com/p/v1687430489/N53379182A_1.jpg?format=jpg&width=240,Galaxy S23 Ultra 5G Dual SIM Lavender 12GB RAM 256GB - International Version,2450.0,,1,,12 GB,4949.0,256 GB,https://www.noon.com/uae-en/galaxy-s23-ultra-5g-dual-sim-lavender-12gb-ram-256gb-international-version/N53379301A/p/?o=f4208f592274975c
Indigo Blue,AED,https://f.nooncdn.com/p/pnsku/N53439388A/45/_/1717588606/b4dbd597-9b17-46ba-b76c-c6b05778816b.jpg?format=jpg&width=240,Moto G54 5G Single + eSim Vegan leather - Indigo Blue 8GB RAM 256GB - Middle East Version,,,1,,8 GB,557.0,256 GB,https://www.noon.com/uae-en/moto-g54-5g-single-esim-vegan-leather-indigo-blue-8gb-ram-256gb-middle-east-version/N53439388A/p/?o=e1e684bf9ba60e8a
Tempest Gray,AED,https://f.nooncdn.com/p/v1687833116/N53417279A_1.jpg?format=jpg&width=240,Nord 3 Dual Sim Tempest Gray 16GB RAM 256GB 5G - International Version,1117.9,,1,MediaTek Dimensity,16 GB,1499.0,256 GB,https://www.noon.com/uae-en/nord-3-dual-sim-tempest-gray-16gb-ram-256gb-5g-international-version/N53417278A/p/?o=dbaeca9b6a28315a
Mint,AED,https://f.nooncdn.com/p/pnsku/N70102524V/45/_/1724313679/9ddfde48-748f-495d-845f-aa6f4aecf410.jpg?format=jpg&width=240,Galaxy Z Flip 6 Dual SIM Mint 12GB RAM 256GB 5G - International Version,2349.0,Android 14,2,Qualcomm Snapdragon,12 GB,2615.95,256 GB,https://www.noon.com/uae-en/galaxy-z-flip-6-dual-sim-mint-12gb-ram-256gb-5g-international-version/N70092346V/p/?o=bf3f3297034f65ef
White Titanium,AED,https://f.nooncdn.com/p/pnsku/N53432608A/45/_/1694762141/ea18c264-39be-4c71-9fdf-de03f9fea5c2.jpg?format=jpg&width=240,iPhone 15 Pro Max 256GB White Titanium 5G With FaceTime - International Version,4399.0,,2,Apple Bionic,8 GB,5099.0,256 GB,https://www.noon.com/uae-en/iphone-15-pro-max-256gb-white-titanium-5g-with-facetime-international-version/N53433290A/p/?o=eb541051d0183cde
Grey,AED,,Tablet A410 Dual SIM Grey 4GB RAM 128GB - International Version,299.0,Android 12,2,MediaTek Dimensity,4 GB,372.9,128 GB,https://www.noon.com/uae-en/tablet-a410-dual-sim-grey-4gb-ram-128gb-international-version/N70022361V/p/?o=f7cbc7c5839614dd
astro silver,AED,https://f.nooncdn.com/p/pnsku/N70088004V/45/_/1719568676/0ff8dcbe-f753-4aa5-a334-13484cbff73b.jpg?format=jpg&width=240,Reno12 Dual SIM Astro Silver 12GB RAM 512GB 5G + Buds2Pro - Middle East Version,,,2,MediaTek Dimensity,12 GB,1499.0,512 GB,https://www.noon.com/uae-en/reno12-dual-sim-astro-silver-12gb-ram-512gb-5g-buds2pro-middle-east-version/N70088005V/p/?o=b1f7c19c49fd167d
Black,AED,https://f.nooncdn.com/p/pnsku/N53432157A/45/_/1694762160/40db6a8f-d908-4ec9-949d-9409c8fa9b85.jpg?format=jpg&width=240,iPhone 15 Plus 256GB Black 5G With FaceTime - Middle East Version,3617.35,,2,Apple Bionic,6 GB,4199.0,256 GB,https://www.noon.com/uae-en/iphone-15-plus-256gb-black-5g-with-facetime-middle-east-version/N53432157A/p/?o=f78b56e716fcc04c
Glamorous Green,AED,https://f.nooncdn.com/p/pnsku/N70048067V/45/_/1708699656/249f5f8e-3861-4ebd-af5a-c69cc3843c3b.jpg?format=jpg&width=240,X8b Dual SIM Glamorous Green 8GB RAM 512GB 4G LTE - Middle East Version,749.0,,2,,8 GB,899.0,512 GB,https://www.noon.com/uae-en/x8b-dual-sim-glamorous-green-8gb-ram-512gb-4g-lte-middle-east-version/N70048067V/p/?o=a1bc577dd69e921a
Dreamy Purple,AED,https://f.nooncdn.com/p/pnsku/N70101567V/45/_/1724149738/3a61878a-6251-4cc1-a0f1-927f4c34b103.jpg?format=jpg&width=240,Redmi 14C Dual SIM Dreamy Purple 8GB RAM 256GB 4G - Global Version,,Android 14,2,MediaTek Helio,8 GB,499.0,256 GB,https://www.noon.com/uae-en/redmi-14c-dual-sim-dreamy-purple-8gb-ram-256gb-4g-global-version/N70101567V/p/?o=b99b7c7a60e3f04e
Emerald Green,AED,,Benco S1s Dual SIM Emerald Green 6GB RAM 128GB 4G LTE No Camera And GPS - Middle East Version,,,2,,6 GB,699.0,128 GB,https://www.noon.com/uae-en/benco-s1s-dual-sim-emerald-green-6gb-ram-128gb-4g-lte-no-camera-and-gps-middle-east-version/N53436097A/p/?o=dd16dc53108c223c
Ice Green,AED,https://f.nooncdn.com/p/pnsku/N70046215V/45/_/1710312408/994f0b71-e770-4932-91a5-7a0943c19d3b.jpg?format=jpg&width=240,G24 Dual SIM Ice Green 8GB RAM 128GB 4G - Middle East Version,,Android 14,2,MediaTek Helio,8 GB,385.0,128 GB,https://www.noon.com/uae-en/g24-dual-sim-ice-green-8gb-ram-128gb-4g-middle-east-version/N70046215V/p/?o=d5922d415f07db2e
White Titanium,AED,https://f.nooncdn.com/p/pnsku/N53432522A/45/_/1694762131/2f7a389a-e814-4ff3-900f-8af8ea75a69b.jpg?format=jpg&width=240,iPhone 15 Pro 256GB White Titanium 5G With FaceTime - International Version,4098.0,,2,Apple Bionic,8 GB,4699.0,256 GB,https://www.noon.com/uae-en/iphone-15-pro-256gb-white-titanium-5g-with-facetime-international-version/N53432842A/p/?o=ead01c0e052eef3e
Iron Grey,AED,,12R Dual SIM Iron Grey 16GB RAM 512GB 5G - International Version,1596.0,,2,,16 GB,1772.5,512 GB,https://www.noon.com/uae-en/12r-dual-sim-iron-grey-16gb-ram-512gb-5g-international-version/N70088023V/p/?o=bdbad3f8aa09fbbc
